u_id,true_country,facet,category_primary,category_name,category_score,label_confident,pred_country_orig,correct_orig,changed_k20,category_score
39456870-dff9-4521-85a7-8ce1e1156572,Rwanda,drink,H,H_appearance,0.458098,True,Germany,False,True,0.458098
d527b146-00a1-41fb-8671-6114ee9cabb9,USA,drink,H,H_appearance,0.448023,True,USA,True,True,0.448023
fbe240a9-76de-4a92-8136-ea1716764e8d,Iran,traditions,H,H_appearance,0.427342,False,Iran,True,True,0.427342
4c79241e-3dc9-44d8-bed7-421701a25103,Brazil,rituals,E,E_script,0.413484,False,USA,False,True,0.413484
7cd63749-44d8-4024-ac6c-727bde0ae91a,USA,drink,H,H_appearance,0.409998,False,Germany,False,True,0.409998
eced265e-c274-45b9-9e1d-16ab6fbad9cd,India,clothing,H,H_appearance,0.404414,False,India,True,True,0.404414
19289618-394a-4b0b-ad8f-ffe2157564aa,Iran,rituals,H,H_appearance,0.38677,False,Turkey,False,True,0.38677
daef26fc-191a-476a-a883-66c9dad9f963,Brazil,drink,A,A_national_symbols,0.38022,False,USA,False,True,0.38022
2b697bc6-809b-4d92-aa10-10c31472acaa,USA,clothing,H,H_appearance,0.379956,False,USA,True,True,0.379956
2272ab97-94b6-4151-9ec6-763f05b0c22c,Turkey,clothing,H,H_appearance,0.358828,False,Germany,False,True,0.358828
3bbeaac4-39d5-449f-b8e0-69a66bbb9400,India,food,H,H_appearance,0.339152,False,USA,False,True,0.339152
c5fa60a8-7191-498a-8cc9-db07ec48dd86,Turkey,traditions,A,A_national_symbols,0.333976,False,Rwanda,False,True,0.333976
443e4b25-3d4a-40e3-a270-e48c9d37f105,Turkey,traditions,H,H_appearance,0.329769,False,Turkey,True,True,0.329769
8869939b-17da-472e-8637-58d80e9291e7,Canada,traditions,H,H_appearance,0.30653,False,Canada,True,True,0.30653
46f8812b-adca-4161-ae1f-9f6c5600599c,Ethiopia,drink,E,E_script,0.299737,False,Ethiopia,True,True,0.299737
39e397ed-fa8c-40ee-974d-b2f01e397e64,India,food,H,H_appearance,0.291855,False,China,False,True,0.291855
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,Canada,food,H,H_appearance,0.278275,False,Canada,True,True,0.278275
