u_id,facet,true_country,score_A,score_B,score_C,score_D,score_E,score_F,score_G,score_H,label_primary,label_primary_key,score_primary,label_secondary,score_secondary,label_confident
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,rituals,China,0.000142,0.000169,0.000786,0.005122,0.000416,0.99051,0.000875,0.001981,F,F_ritual,0.99051,D,0.005122,True
22bb7d28-bb29-4a85-af25-85f66ce70d52,rituals,China,0.108828,0.001848,0.697816,0.041834,0.057035,0.079173,0.001817,0.011647,C,C_architecture,0.697816,A,0.108828,True
4c169dc1-0511-4867-803b-2c5724589072,rituals,China,0.000102,0.000807,0.00048,0.989293,0.001339,0.00663,0.000374,0.000975,D,D_food,0.989293,F,0.00663,True
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,rituals,China,0.008649,0.062389,0.00929,0.178399,0.013712,0.720282,0.001123,0.006156,F,F_ritual,0.720282,D,0.178399,True
aa454b8a-ea44-47d8-bfc5-8e0691affc18,rituals,China,0.00267,0.000209,0.948782,0.01594,0.026224,0.002701,0.002056,0.001418,C,C_architecture,0.948782,E,0.026224,True
c4ba628f-6ccc-4659-88e0-989cf36c6b66,drink,Canada,0.002687,0.004637,0.004794,0.286173,0.030797,0.158769,0.00681,0.505334,H,H_appearance,0.505334,D,0.286173,False
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,drink,Canada,0.001345,0.001085,0.00572,0.843457,0.016546,0.02519,0.002409,0.104249,D,D_food,0.843457,H,0.104249,True
48cb84ac-f6c8-41d5-a8bd-433790fd4228,drink,Canada,0.016357,0.003617,0.004677,0.663482,0.027309,0.05088,0.006236,0.227443,D,D_food,0.663482,H,0.227443,True
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,drink,Canada,0.000267,0.000154,0.001449,0.972657,0.000757,0.004032,0.008669,0.012015,D,D_food,0.972657,H,0.012015,True
96b37654-4373-4743-981d-ef25317c602a,drink,Canada,0.019638,0.001933,0.015534,0.647475,0.110206,0.041036,0.014457,0.149721,D,D_food,0.647475,H,0.149721,True
a2ebb579-6a95-4ef6-90d3-7472f9739d27,traditions,Canada,0.00352,0.002136,0.011798,0.014787,0.060671,0.013677,0.003611,0.889801,H,H_appearance,0.889801,E,0.060671,True
734acb99-0962-4131-b4f7-725c20411db8,traditions,Canada,0.009438,0.001901,0.053868,0.020739,0.014129,0.785465,0.014019,0.10044,F,F_ritual,0.785465,H,0.10044,True
a914a20e-7219-43e5-929a-a60eeb2b0eba,traditions,Canada,0.027669,0.123937,0.059215,0.018848,0.037731,0.520552,0.022342,0.189707,F,F_ritual,0.520552,H,0.189707,True
8869939b-17da-472e-8637-58d80e9291e7,traditions,Canada,0.184586,0.00979,0.093388,0.281671,0.033794,0.044354,0.045886,0.30653,H,H_appearance,0.30653,D,0.281671,False
184d6c08-7237-4f6b-b49d-04b5b2bef635,traditions,Canada,0.985855,6.8e-05,0.001378,0.000985,0.009403,0.000517,0.000229,0.001566,A,A_national_symbols,0.985855,E,0.009403,True
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,food,Canada,0.155445,0.00857,0.0224,0.25549,0.043952,0.065042,0.170826,0.278275,H,H_appearance,0.278275,D,0.25549,False
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,food,Canada,0.011731,0.000499,0.002652,0.948496,0.000515,0.020997,0.003638,0.011472,D,D_food,0.948496,F,0.020997,True
0c62e0fb-0aea-49a7-b333-b15a64c8359f,food,Canada,0.000211,0.000124,0.000203,0.984513,0.001135,0.013025,0.000239,0.00055,D,D_food,0.984513,F,0.013025,True
7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,food,Canada,0.008681,7.1e-05,0.010949,0.723053,0.022927,0.01425,0.049508,0.17056,D,D_food,0.723053,H,0.17056,True
fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,food,Canada,0.039989,0.000535,0.006629,0.867588,0.008505,0.014336,0.003977,0.058441,D,D_food,0.867588,H,0.058441,True
b5ddf9ce-952d-4fe5-a878-b1ffe90ff1ef,rituals,Canada,0.000247,0.000174,0.995328,0.000296,0.000152,0.000617,0.00024,0.002946,C,C_architecture,0.995328,H,0.002946,True
4f04c1f6-a284-4219-9412-beacc222f51d,rituals,Canada,0.856681,0.003491,0.002139,0.002687,0.013724,0.110743,0.000581,0.009953,A,A_national_symbols,0.856681,F,0.110743,True
fa9d08f1-413b-4a05-b058-380843d46806,rituals,Canada,0.007144,0.017817,0.021073,0.018608,0.017572,0.579767,0.013977,0.324043,F,F_ritual,0.579767,H,0.324043,False
746e8569-1091-499b-8de8-08bce681dd84,rituals,Canada,0.008784,0.040619,0.066505,0.068215,0.050278,0.453756,0.009792,0.30205,F,F_ritual,0.453756,H,0.30205,False
19ae4ab7-a1b1-47c9-a81d-24a4020df41a,rituals,Canada,0.440323,0.000509,0.483472,0.009153,0.012001,0.026134,0.00774,0.020668,C,C_architecture,0.483472,A,0.440323,False
318807ce-d521-41f7-b9b2-e533deb7a178,clothing,Canada,0.012006,0.151516,0.108387,0.077766,0.065182,0.00404,0.006725,0.574378,H,H_appearance,0.574378,B,0.151516,True
acd68d0e-9d10-40ef-9fd1-cbdc720808ef,clothing,Canada,0.535798,0.087031,0.014662,0.018845,0.01083,0.01957,0.189553,0.123711,A,A_national_symbols,0.535798,G,0.189553,True
591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,clothing,Canada,0.010269,0.105255,0.036488,0.16265,0.040247,0.055645,0.330937,0.258511,G,G_landscape,0.330937,H,0.258511,False
bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,clothing,Canada,0.811499,0.097013,0.006305,0.014376,0.006654,0.019168,0.002835,0.042151,A,A_national_symbols,0.811499,B,0.097013,True
87161e09-edf6-46a7-acf4-1d2ba9f61348,clothing,Canada,0.398466,0.015601,0.128234,0.1446,0.031761,0.115397,0.050514,0.115429,A,A_national_symbols,0.398466,D,0.1446,True
31824d6c-cdda-43df-9792-17cb3f44217d,traditions,Nigeria,0.014707,0.877978,0.001968,0.034719,0.013333,0.049236,0.000513,0.007545,B,B_clothing,0.877978,F,0.049236,True
7409a04b-e4e0-48a6-83aa-9ea94eeb78da,traditions,Nigeria,0.117389,0.010734,0.010953,0.132943,0.027314,0.077289,0.415243,0.208135,G,G_landscape,0.415243,H,0.208135,False
a2ccb005-d747-43f8-8315-2518a1ece07d,traditions,Nigeria,0.071719,0.044478,0.010551,0.373952,0.037212,0.069974,0.053767,0.338347,D,D_food,0.373952,H,0.338347,False
bb027c12-2666-421b-a523-4bd7c4c30f20,traditions,Nigeria,0.02707,0.10783,0.02899,0.21189,0.007896,0.088441,0.020526,0.507357,H,H_appearance,0.507357,D,0.21189,True
4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,traditions,Nigeria,0.010386,0.121694,0.053583,0.06246,0.176458,0.314595,0.004409,0.256415,F,F_ritual,0.314595,H,0.256415,False
98b439d0-91bc-40ba-8d77-ec2889c96666,clothing,Nigeria,0.000272,0.099519,0.001938,0.006582,0.00106,0.00112,0.000587,0.888921,H,H_appearance,0.888921,B,0.099519,True
4457fdf9-a623-41bd-8a0d-fd42128f38b3,clothing,Nigeria,3.1e-05,0.961234,0.000219,0.000423,0.000116,0.007213,1.1e-05,0.030752,B,B_clothing,0.961234,H,0.030752,True
2c1bd295-9cde-47af-af0e-202c03272d01,clothing,Nigeria,1e-05,0.96852,9.3e-05,0.000969,9.3e-05,0.002148,2.8e-05,0.028139,B,B_clothing,0.96852,H,0.028139,True
da343301-2fc3-42b9-9d8e-7f90b000f00f,clothing,Nigeria,0.002148,0.24805,0.000802,0.559483,0.000892,0.037965,0.130365,0.020296,D,D_food,0.559483,B,0.24805,True
c717f3a6-7b14-4f61-b395-89d63b0c6e73,clothing,Nigeria,0.000556,0.826969,0.00166,0.010346,0.000371,0.092421,0.000264,0.067413,B,B_clothing,0.826969,F,0.092421,True
4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,rituals,Nigeria,0.26055,0.003301,0.005868,0.261457,0.051535,0.052401,0.336912,0.027976,G,G_landscape,0.336912,D,0.261457,False
6e72fc43-14d2-40a5-863c-62d14dc5facb,rituals,Nigeria,1.4e-05,0.159735,3.2e-05,0.006664,0.000742,0.832235,7.1e-05,0.000507,F,F_ritual,0.832235,B,0.159735,True
60c2f1e2-820c-4c10-a873-af1a75d9e4db,rituals,Nigeria,3.2e-05,0.323424,0.000113,0.004279,4.7e-05,0.667271,9e-06,0.004826,F,F_ritual,0.667271,B,0.323424,True
0ce7d616-31bd-4eac-99ec-195e0172b4fc,rituals,Nigeria,0.00867,0.110963,0.011823,0.26838,0.009231,0.530333,0.000645,0.059954,F,F_ritual,0.530333,D,0.26838,False
3a181f33-846c-43f8-8512-5919ce7088bf,rituals,Nigeria,0.046323,0.69111,0.016078,0.060017,0.087748,0.030215,0.003961,0.064547,B,B_clothing,0.69111,E,0.087748,True
67fa11a3-fa1f-4817-a189-87f38daf3011,drink,Nigeria,0.202375,0.002515,0.003388,0.472954,0.015231,0.050621,0.169425,0.08349,D,D_food,0.472954,A,0.202375,True
6518121e-ba08-4e76-aa33-2c2e00598fdd,drink,Nigeria,0.000209,0.93312,0.000758,0.044497,0.000129,0.019661,7.8e-05,0.001548,B,B_clothing,0.93312,D,0.044497,True
dc012abe-5e86-41c4-b740-a9e91a0fe240,drink,Nigeria,0.000774,0.041747,0.005943,0.207413,0.002486,0.018075,0.000209,0.723353,H,H_appearance,0.723353,D,0.207413,True
3b78bd2d-5f55-4480-8637-ccc22c549402,drink,Nigeria,0.000777,0.000323,0.000581,0.006605,0.000673,0.009795,0.000442,0.980804,H,H_appearance,0.980804,F,0.009795,True
9ace2f1e-6a06-45ba-bed9-46ac3b80b038,drink,Nigeria,0.015933,0.022736,0.002784,0.816348,0.015838,0.075203,0.002464,0.048694,D,D_food,0.816348,F,0.075203,True
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,food,Nigeria,0.006093,0.000432,0.008909,0.392968,0.001262,0.006332,0.006774,0.57723,H,H_appearance,0.57723,D,0.392968,False
69a710fd-f216-43b8-9ec6-8fd324c49690,food,Nigeria,0.002664,0.000304,0.003679,0.608631,0.00796,0.006303,0.00784,0.36262,D,D_food,0.608631,H,0.36262,False
30beeebf-ea67-484f-93a7-2cfd29242fe4,food,Nigeria,0.000933,0.000263,0.001629,0.001221,0.000902,0.00254,0.990777,0.001735,G,G_landscape,0.990777,F,0.00254,True
6edf17b0-f94a-42d4-b233-4234439deda4,food,Nigeria,5.2e-05,0.000158,0.000116,0.996366,0.000124,0.001484,0.000194,0.001504,D,D_food,0.996366,H,0.001504,True
c6582a96-d4df-4b5a-8a86-3652687aa1e8,food,Nigeria,0.000255,0.001138,0.00086,0.97836,0.00065,0.01299,0.001551,0.004195,D,D_food,0.97836,F,0.01299,True
13f37320-7bb5-4232-9bf2-8f28c57c4582,food,USA,0.000892,0.00017,0.002918,0.991723,0.000362,0.002856,0.000409,0.000672,D,D_food,0.991723,C,0.002918,True
9e63b44b-6f24-4288-9b27-8626e11bf0a3,food,USA,9.7e-05,0.000446,0.000193,0.977356,0.0016,0.011386,0.005495,0.003427,D,D_food,0.977356,F,0.011386,True
a2dcde1c-1b2c-4936-ac07-8e912413e23e,food,USA,2.5e-05,0.002825,0.001106,0.977079,0.001137,0.017148,1.9e-05,0.00066,D,D_food,0.977079,F,0.017148,True
6f5bf0aa-f72d-4e5d-8ac8-bcc1761d0f8a,food,USA,0.00388,0.000197,0.11587,0.017467,0.001472,0.003918,0.813636,0.043559,G,G_landscape,0.813636,C,0.11587,True
41388d0a-c0cd-4947-a415-db9ba4893bcd,food,USA,0.001962,0.00014,0.004233,0.968627,0.000108,0.001358,0.000198,0.023373,D,D_food,0.968627,H,0.023373,True
4455c508-07a5-483c-a247-92904d635fee,traditions,USA,0.006251,0.003382,0.003712,0.733079,0.011659,0.149842,0.016064,0.076012,D,D_food,0.733079,F,0.149842,True
9e592190-7413-4778-8631-3908e7577661,traditions,USA,0.001675,0.069191,0.013105,0.029361,0.039584,0.57268,0.000294,0.274111,F,F_ritual,0.57268,H,0.274111,True
a6b53f36-7864-4876-a058-7e0be321388b,traditions,USA,0.190101,0.00495,0.044211,0.021845,0.111456,0.130243,0.034372,0.462822,H,H_appearance,0.462822,A,0.190101,True
5473783d-ba57-45b2-8414-33eb26c36ccf,traditions,USA,0.002162,0.001648,0.050312,0.029225,0.1658,0.054994,0.011875,0.683984,H,H_appearance,0.683984,E,0.1658,True
89df03ce-b19f-474d-8f36-e9b41be7d3d5,traditions,USA,0.001704,0.000164,0.001052,0.981588,0.000492,0.010582,0.000272,0.004145,D,D_food,0.981588,F,0.010582,True
7d6f190c-4df7-4306-a1e9-b87ed1e3087c,rituals,USA,0.886297,0.000232,0.00512,0.002841,0.00318,0.008466,0.011252,0.082611,A,A_national_symbols,0.886297,H,0.082611,True
ff57c370-a704-49a2-8662-f040dca197df,rituals,USA,0.015416,0.047238,0.044728,0.035274,0.107528,0.094334,0.031176,0.624307,H,H_appearance,0.624307,E,0.107528,True
87a16f79-2e21-4b11-93b2-4871169911e7,rituals,USA,0.869866,0.001858,0.019807,0.001612,0.000852,0.087723,0.001725,0.016557,A,A_national_symbols,0.869866,F,0.087723,True
1880497c-e945-4689-839e-03022a70d7a7,rituals,USA,0.085451,0.012594,0.007295,0.00996,0.002376,0.005225,0.000738,0.876361,H,H_appearance,0.876361,A,0.085451,True
4436f0b0-f4fe-4383-911d-4640c75d9018,rituals,USA,0.00056,0.009624,0.098023,0.050935,0.160592,0.122603,0.007739,0.549924,H,H_appearance,0.549924,E,0.160592,True
46718728-a72a-4651-a2dc-d9d39b32ab74,clothing,USA,0.004073,0.256418,0.010191,0.011262,0.00759,0.008874,0.004763,0.69683,H,H_appearance,0.69683,B,0.256418,True
87cc957e-bd81-4ea9-8d40-d6d9bce4ec76,clothing,USA,0.000997,0.565689,0.024649,0.009667,0.071786,0.17244,0.004752,0.150021,B,B_clothing,0.565689,F,0.17244,True
2b697bc6-809b-4d92-aa10-10c31472acaa,clothing,USA,0.005215,0.36281,0.027701,0.098203,0.046718,0.07639,0.003006,0.379956,H,H_appearance,0.379956,B,0.36281,False
f3dee24e-9af4-4a3e-b21c-ad8bf74510dc,clothing,USA,0.046284,0.0066,0.055949,0.023704,0.139368,0.021398,0.610444,0.096252,G,G_landscape,0.610444,E,0.139368,True
b6aaf31f-d668-4f6e-9d34-c7ecbfa7c8a8,clothing,USA,0.922065,0.004581,0.001403,0.007154,0.003835,0.012904,0.000488,0.04757,A,A_national_symbols,0.922065,H,0.04757,True
9f2b9f74-faa4-4b54-a4f1-aa65e32cb9f9,drink,USA,0.001896,0.000255,0.007227,0.621304,0.024444,0.040464,0.003801,0.300608,D,D_food,0.621304,H,0.300608,True
7cd63749-44d8-4024-ac6c-727bde0ae91a,drink,USA,0.006225,0.002134,0.095999,0.367866,0.044753,0.063798,0.009227,0.409998,H,H_appearance,0.409998,D,0.367866,False
dca004c5-3d95-44e6-95ef-8116165e04a3,drink,USA,0.20203,0.001146,0.01008,0.085311,0.022799,0.566028,0.006525,0.10608,F,F_ritual,0.566028,A,0.20203,True
d527b146-00a1-41fb-8671-6114ee9cabb9,drink,USA,0.027088,0.031591,0.068868,0.193571,0.15455,0.058657,0.017652,0.448023,H,H_appearance,0.448023,D,0.193571,True
2fd3e1c4-4980-4f7d-8876-69cd79654a75,drink,USA,0.001896,0.000255,0.007227,0.621304,0.024444,0.040464,0.003801,0.300608,D,D_food,0.621304,H,0.300608,True
41e6fcd3-a802-4639-a9f3-3943c6b1242a,rituals,India,0.009584,0.000208,0.002324,0.001701,0.001687,0.001322,0.980569,0.002606,G,G_landscape,0.980569,A,0.009584,True
6a8d47c3-55db-4f2d-b7e0-6c25b6a268c8,rituals,India,0.001103,0.004075,0.849231,0.053429,0.006042,0.049347,0.001397,0.035376,C,C_architecture,0.849231,D,0.053429,True
b577985c-6eca-41d4-805c-13fdb8822df8,rituals,India,1.4e-05,0.003327,0.000382,0.0004,0.000164,0.995475,3e-06,0.000234,F,F_ritual,0.995475,B,0.003327,True
fdc20e45-b3db-48bd-946b-8969194f3fde,rituals,India,0.01184,0.00261,0.007345,0.417302,0.030125,0.031828,0.052126,0.446824,H,H_appearance,0.446824,D,0.417302,False
9844e1be-1620-44ee-ac68-57ae9d58ab4f,rituals,India,0.052237,0.000715,0.002636,0.003537,0.00025,0.924595,0.004199,0.01183,F,F_ritual,0.924595,A,0.052237,True
eced265e-c274-45b9-9e1d-16ab6fbad9cd,clothing,India,0.030141,0.082649,0.019902,0.103151,0.023431,0.306827,0.029483,0.404414,H,H_appearance,0.404414,F,0.306827,False
a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,clothing,India,0.000112,0.7624,0.005386,0.001096,0.009906,0.115859,0.000373,0.104867,B,B_clothing,0.7624,F,0.115859,True
0c06402c-32eb-4fb0-bd5c-3d8ce5f6e9e2,clothing,India,0.00196,0.809081,0.003375,0.001591,0.002642,0.080346,0.008094,0.092911,B,B_clothing,0.809081,H,0.092911,True
ac9a3d5c-63dd-4fbd-9676-9f913f4029f3,clothing,India,0.001273,0.789133,0.004224,0.004326,0.001514,0.104813,0.000456,0.094262,B,B_clothing,0.789133,F,0.104813,True
520f8c8b-3426-4a8e-affd-07b0c26f954b,clothing,India,0.024674,0.90861,0.003729,0.007707,0.002827,0.030965,0.007795,0.013693,B,B_clothing,0.90861,F,0.030965,True
d4d631c2-4c15-4f43-b3bb-bd1fe3157b64,traditions,India,0.336844,0.017778,0.09602,0.014605,0.010208,0.099005,0.38294,0.042599,G,G_landscape,0.38294,A,0.336844,False
0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,traditions,India,0.004329,0.000122,0.002214,0.008449,0.001078,0.002535,0.977219,0.004054,G,G_landscape,0.977219,D,0.008449,True
be330458-bfe8-4b6d-ab4f-0e121faca59d,traditions,India,0.634569,0.0018,0.00137,0.004147,0.000194,0.336894,0.000309,0.020717,A,A_national_symbols,0.634569,F,0.336894,False
ae89905e-966f-43f0-8c0f-cc4ce1b87ac1,traditions,India,0.000438,0.00012,0.007179,0.001292,0.003965,0.000377,0.983632,0.002997,G,G_landscape,0.983632,C,0.007179,True
3156bba1-7c6d-417e-8841-d6319dc7e3af,traditions,India,0.058656,0.000969,0.024151,0.024831,0.047184,0.026213,0.138018,0.679976,H,H_appearance,0.679976,G,0.138018,True
dad09341-9891-4f9e-b292-1f834f9fedc4,drink,India,0.002092,0.004161,0.0066,0.724616,0.023281,0.030594,0.013851,0.194804,D,D_food,0.724616,H,0.194804,True
9e192054-6b30-44b3-841f-785853bfe7e4,drink,India,0.000879,0.001124,0.054894,0.289338,0.017104,0.012532,0.05457,0.569559,H,H_appearance,0.569559,D,0.289338,False
4048bef4-586f-466a-8f53-3a1332979fcd,drink,India,0.000662,0.001242,0.003553,0.83319,0.037071,0.090183,0.006247,0.027852,D,D_food,0.83319,F,0.090183,True
c62249de-cc8b-43b7-aa90-842dbd8d89e2,drink,India,0.018243,0.004152,0.056123,0.40164,0.025932,0.275159,0.040321,0.17843,D,D_food,0.40164,F,0.275159,False
6ec6b59a-9126-4462-89ee-df55d996f4ab,drink,India,0.163775,0.000643,0.715001,0.045997,0.003707,0.005715,0.046262,0.0189,C,C_architecture,0.715001,A,0.163775,True
5c7b7038-b58d-4a21-b867-b7a72612ff55,food,India,0.017504,0.002146,0.009135,0.536796,0.001387,0.429329,0.001608,0.002095,D,D_food,0.536796,F,0.429329,False
39e397ed-fa8c-40ee-974d-b2f01e397e64,food,India,0.101458,0.11589,0.10964,0.024797,0.124598,0.22446,0.007302,0.291855,H,H_appearance,0.291855,F,0.22446,False
a82f3319-8037-44df-bcab-0d39d14590e6,food,India,0.005695,1e-05,0.002296,0.923618,0.009926,0.002152,0.003464,0.052839,D,D_food,0.923618,H,0.052839,True
3bbeaac4-39d5-449f-b8e0-69a66bbb9400,food,India,0.082695,0.016775,0.06262,0.01389,0.282306,0.159487,0.043076,0.339152,H,H_appearance,0.339152,E,0.282306,False
4e2b3e11-9de8-4bfb-99c2-0bac3f7c7618,food,India,0.015165,0.001613,0.027505,0.044617,0.022715,0.016999,0.745813,0.125573,G,G_landscape,0.745813,H,0.125573,True
e43999fc-df28-41f1-982f-64a51d79acb7,rituals,Turkey,0.001115,0.863574,0.008819,0.032675,0.002693,0.072927,0.000281,0.017916,B,B_clothing,0.863574,F,0.072927,True
c3a1ddb5-f12f-4806-bda6-4189d38228d7,rituals,Turkey,0.013401,0.006184,0.037107,0.824784,0.067939,0.041975,0.001954,0.006656,D,D_food,0.824784,E,0.067939,True
a950d18e-1dbc-46c8-955e-4bbf4f41aadb,rituals,Turkey,0.023989,0.000872,0.961839,0.003739,0.002827,0.005554,0.000696,0.000484,C,C_architecture,0.961839,A,0.023989,True
2b049977-6bfc-4a19-b59a-c9e2beffab94,rituals,Turkey,0.00045,0.005856,0.013227,0.129611,0.015932,0.045427,0.009135,0.780363,H,H_appearance,0.780363,D,0.129611,True
2329409d-2712-4aa5-96d1-2cd16298f150,rituals,Turkey,0.003906,0.012345,0.068656,0.522194,0.279595,0.087659,0.006523,0.019123,D,D_food,0.522194,E,0.279595,False
a7465e78-a57b-4a6c-bbcf-9214feeafb74,drink,Turkey,0.014047,0.003904,0.018105,0.892136,0.030141,0.030246,0.004549,0.006871,D,D_food,0.892136,F,0.030246,True
fc76de15-b866-4251-af12-bd76901f7c3d,drink,Turkey,0.006715,0.00209,0.023204,0.921932,0.015455,0.021822,0.006716,0.002066,D,D_food,0.921932,C,0.023204,True
cedc6039-0f3d-4995-bf1f-eb1cd6590cbf,drink,Turkey,0.014047,0.003904,0.018105,0.892136,0.030141,0.030246,0.004549,0.006871,D,D_food,0.892136,F,0.030246,True
1a2b2bda-ede8-4e7c-99a6-7072401066e6,drink,Turkey,0.020904,0.066306,0.063104,0.525111,0.118549,0.161736,0.030303,0.013987,D,D_food,0.525111,F,0.161736,True
fa819613-c07e-4e81-ae2a-6a5fee7b350b,drink,Turkey,0.038104,0.000976,0.067543,0.464345,0.270451,0.025765,0.011533,0.121284,D,D_food,0.464345,E,0.270451,False
4efc5850-d150-471b-8188-4f35d3b63b48,clothing,Turkey,0.155966,0.031539,0.004063,0.039503,0.705929,0.003793,0.029588,0.029618,E,E_script,0.705929,A,0.155966,True
a5ffd0e5-343e-484b-92dc-aa8f00b18e98,clothing,Turkey,0.002181,0.426572,0.160345,0.054458,0.04519,0.249861,0.012492,0.048901,B,B_clothing,0.426572,F,0.249861,False
c67a3887-7cf3-4455-8122-e60eedd643a7,clothing,Turkey,9.4e-05,0.992333,0.000672,0.000158,0.000781,0.003339,5.6e-05,0.002568,B,B_clothing,0.992333,F,0.003339,True
0c5aee4c-d9fe-462e-8df1-ef7320c618cb,clothing,Turkey,0.032561,0.002497,0.189606,0.131513,0.071208,0.006154,0.060226,0.506235,H,H_appearance,0.506235,C,0.189606,True
2272ab97-94b6-4151-9ec6-763f05b0c22c,clothing,Turkey,0.158739,0.011536,0.062136,0.008161,0.179834,0.219913,0.000854,0.358828,H,H_appearance,0.358828,F,0.219913,False
2b514973-2195-4908-8bda-3f958deb8bdb,food,Turkey,0.000245,9.9e-05,5.6e-05,0.988408,8.5e-05,0.008538,0.000117,0.002452,D,D_food,0.988408,F,0.008538,True
f7a3dcee-b9cb-4f4b-94b6-617336a4d320,food,Turkey,0.046047,0.020887,0.01489,0.35232,0.007721,0.051728,0.393494,0.112913,G,G_landscape,0.393494,D,0.35232,False
fd72fc17-d0df-47fd-9d0c-4e6803e873c0,food,Turkey,0.001333,0.000172,0.005998,0.973346,0.001771,0.013047,0.001739,0.002594,D,D_food,0.973346,F,0.013047,True
e3ddb612-2a9b-4cda-a547-572583a1e202,food,Turkey,0.001408,0.002375,0.044156,0.826903,0.010254,0.110686,0.001302,0.002916,D,D_food,0.826903,F,0.110686,True
c6f9ae05-ef81-4957-b6f0-7a177580e2d5,food,Turkey,0.002361,0.000159,0.020784,0.899666,0.003369,0.016875,0.051806,0.004978,D,D_food,0.899666,G,0.051806,True
443e4b25-3d4a-40e3-a270-e48c9d37f105,traditions,Turkey,0.055079,0.039191,0.043569,0.055103,0.135011,0.209833,0.132445,0.329769,H,H_appearance,0.329769,F,0.209833,False
e2af3f45-8230-49e5-9fb2-19c8b42b9816,traditions,Turkey,0.006679,0.000576,0.016107,0.842413,0.066135,0.038036,0.003513,0.026543,D,D_food,0.842413,E,0.066135,True
