u_id,model,pred_country,correct,auc_ranked,auc_random,auc_gap,conf_step0,conf_step1,conf_step2,conf_step3,conf_step4,conf_step5,conf_step6,conf_step7,conf_step8,conf_step9,conf_step10
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,llava,Brazil,False,0.13003,0.12232,0.0077,0.4282,0.20107,0.29199,0.09957,0.07254,0.07661,0.09647,0.07546,0.05659,0.08465,0.06236
22bb7d28-bb29-4a85-af25-85f66ce70d52,llava,China,True,0.58325,0.26573,0.31752,0.64195,0.78744,0.63201,0.57898,0.81617,0.86377,0.6569,0.6714,0.25143,0.22454,0.05784
4c169dc1-0511-4867-803b-2c5724589072,llava,China,True,0.37848,0.49714,-0.11866,0.93669,0.88756,0.79894,0.68564,0.48447,0.21355,0.06674,0.06299,0.05226,0.04692,0.03476
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,llava,China,True,0.39443,0.57706,-0.18263,0.93817,0.71888,0.622,0.57157,0.45645,0.38403,0.36701,0.13788,0.09985,0.0896,0.0558
aa454b8a-ea44-47d8-bfc5-8e0691affc18,llava,China,True,0.46065,0.41953,0.04112,0.96847,0.88437,0.89351,0.87857,0.62586,0.52251,0.18745,0.031,0.03693,0.03966,0.04475
c4ba628f-6ccc-4659-88e0-989cf36c6b66,llava,Canada,True,0.78944,0.71541,0.07403,0.99584,0.99142,0.97312,0.96025,0.96949,0.86977,0.84904,0.62755,0.51883,0.60219,0.06967
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,llava,Germany,False,0.26099,0.17598,0.08502,0.44448,0.18712,0.32956,0.21868,0.36158,0.25213,0.39143,0.29875,0.20676,0.10652,0.07036
48cb84ac-f6c8-41d5-a8bd-433790fd4228,llava,Brazil,False,0.07054,0.07352,-0.00298,0.05305,0.05772,0.06091,0.06704,0.07248,0.06594,0.0774,0.07853,0.07507,0.08151,0.0845
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,llava,Germany,False,0.20772,0.19794,0.00978,0.15559,0.08833,0.27932,0.34701,0.42291,0.26801,0.1717,0.14015,0.12999,0.11912,0.0658
96b37654-4373-4743-981d-ef25317c602a,llava,Canada,True,0.09384,0.10828,-0.01444,0.11997,0.12094,0.09225,0.09166,0.05084,0.0649,0.06982,0.11625,0.13483,0.09828,0.07721
a2ebb579-6a95-4ef6-90d3-7472f9739d27,llava,Brazil,False,0.09397,0.11029,-0.01633,0.06296,0.05516,0.06253,0.07146,0.07191,0.0955,0.10859,0.10931,0.16314,0.12395,0.09327
734acb99-0962-4131-b4f7-725c20411db8,llava,Canada,True,0.31135,0.54588,-0.23454,0.962,0.76188,0.56406,0.35405,0.23725,0.25908,0.20535,0.09288,0.05776,0.0655,0.06931
a914a20e-7219-43e5-929a-a60eeb2b0eba,llava,Canada,True,0.14804,0.15594,-0.0079,0.06513,0.07314,0.0822,0.09028,0.11376,0.15997,0.17785,0.2163,0.31453,0.16397,0.11166
8869939b-17da-472e-8637-58d80e9291e7,llava,Canada,True,0.13976,0.1603,-0.02054,0.28248,0.12877,0.11939,0.11465,0.13465,0.13698,0.19834,0.14091,0.11749,0.12786,0.07458
184d6c08-7237-4f6b-b49d-04b5b2bef635,llava,Canada,True,0.80726,0.78936,0.01789,0.98676,0.96174,0.96065,0.94887,0.91685,0.94225,0.92767,0.88148,0.67324,0.33797,0.05692
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,llava,Brazil,False,0.10262,0.15124,-0.04862,0.18608,0.11286,0.10397,0.09159,0.12861,0.11133,0.09397,0.08002,0.07531,0.07531,0.12037
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,llava,Brazil,False,0.07017,0.05376,0.01641,0.0615,0.08743,0.05826,0.07593,0.06727,0.06358,0.06848,0.0815,0.06983,0.06493,0.06759
0c62e0fb-0aea-49a7-b333-b15a64c8359f,llava,Turkey,False,0.42372,0.30307,0.12065,0.4533,0.39468,0.42858,0.57137,0.52163,0.49621,0.34524,0.30775,0.57989,0.34711,0.03621
7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,llava,Canada,True,0.09434,0.0817,0.01264,0.13373,0.13464,0.12338,0.10049,0.0916,0.07835,0.08207,0.07249,0.07153,0.09168,0.0606
fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,llava,Brazil,False,0.10712,0.12022,-0.0131,0.1415,0.0906,0.12246,0.13671,0.08644,0.08699,0.16005,0.10539,0.08746,0.08961,0.06939
b5ddf9ce-952d-4fe5-a878-b1ffe90ff1ef,llava,Brazil,False,0.2453,0.20559,0.03972,0.28255,0.21207,0.16948,0.17925,0.27142,0.35044,0.45031,0.30345,0.22707,0.09329,0.10997
4f04c1f6-a284-4219-9412-beacc222f51d,llava,Germany,False,0.35739,0.20126,0.15613,0.66108,0.77677,0.54157,0.57053,0.16044,0.14869,0.26602,0.28697,0.24361,0.21214,0.07316
fa9d08f1-413b-4a05-b058-380843d46806,llava,Canada,True,0.07309,0.11339,-0.0403,0.19774,0.14215,0.09139,0.06102,0.06895,0.05509,0.06171,0.0469,0.04151,0.04436,0.03781
746e8569-1091-499b-8de8-08bce681dd84,llava,Canada,True,0.8752,0.93232,-0.05713,0.98419,0.98851,0.98237,0.98347,0.98503,0.97084,0.96453,0.90656,0.89086,0.5626,0.05029
19ae4ab7-a1b1-47c9-a81d-24a4020df41a,llava,Turkey,False,0.04693,0.04821,-0.00128,0.06991,0.06862,0.05226,0.05756,0.04445,0.0389,0.04363,0.04047,0.04073,0.02882,0.03776
318807ce-d521-41f7-b9b2-e533deb7a178,llava,Canada,True,0.13722,0.15315,-0.01593,0.12481,0.09182,0.1049,0.10777,0.09772,0.07211,0.14648,0.18561,0.25998,0.22144,0.04384
acd68d0e-9d10-40ef-9fd1-cbdc720808ef,llava,Canada,True,0.24358,0.70056,-0.45698,0.9986,0.96425,0.0967,0.10697,0.22224,0.12693,0.15118,0.10931,0.06975,0.062,0.05437
591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,llava,Canada,True,0.55183,0.60023,-0.04841,0.66989,0.62936,0.61105,0.55736,0.52855,0.53141,0.56505,0.62411,0.58339,0.517,0.07207
bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,llava,Canada,True,0.94101,0.85299,0.08802,0.98943,0.98887,0.98929,0.99063,0.99075,0.98969,0.98997,0.98471,0.98543,0.9838,0.04444
87161e09-edf6-46a7-acf4-1d2ba9f61348,llava,Canada,True,0.12009,0.59039,-0.47029,0.46028,0.15342,0.1459,0.23148,0.08239,0.10542,0.07031,0.05267,0.06606,0.04129,0.04375
31824d6c-cdda-43df-9792-17cb3f44217d,llava,Brazil,False,0.06896,0.05325,0.01571,0.02571,0.03965,0.04742,0.06464,0.07276,0.11332,0.0748,0.06408,0.08967,0.07118,0.07845
7409a04b-e4e0-48a6-83aa-9ea94eeb78da,llava,Brazil,False,0.14941,0.14515,0.00426,0.21216,0.13066,0.15063,0.17052,0.15245,0.18832,0.15974,0.20058,0.11316,0.07653,0.09081
a2ccb005-d747-43f8-8315-2518a1ece07d,llava,Brazil,False,0.06284,0.06171,0.00113,0.04933,0.06178,0.04694,0.06511,0.06001,0.05413,0.03289,0.08319,0.08615,0.06913,0.08875
bb027c12-2666-421b-a523-4bd7c4c30f20,llava,Brazil,False,0.15745,0.11093,0.04653,0.17885,0.17987,0.17263,0.22735,0.22634,0.19802,0.17614,0.10182,0.08509,0.09517,0.04535
4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,llava,Nigeria,True,0.16875,0.20568,-0.03694,0.1329,0.10999,0.07972,0.12897,0.15261,0.19759,0.16855,0.20976,0.22598,0.28794,0.11978
98b439d0-91bc-40ba-8d77-ec2889c96666,llava,Nigeria,True,0.55825,0.49425,0.06401,0.61901,0.74117,0.57827,0.64721,0.64505,0.66466,0.5776,0.44937,0.42941,0.41189,0.2568
4457fdf9-a623-41bd-8a0d-fd42128f38b3,llava,Nigeria,True,0.68114,0.82395,-0.14281,0.7313,0.67662,0.66789,0.65754,0.52081,0.62531,0.79919,0.78537,0.82655,0.75319,0.26644
2c1bd295-9cde-47af-af0e-202c03272d01,llava,Brazil,False,0.01739,0.01727,0.00012,0.00611,0.00934,0.01311,0.01508,0.01372,0.01237,0.00964,0.00783,0.00922,0.02535,0.11043
da343301-2fc3-42b9-9d8e-7f90b000f00f,llava,Ethiopia,False,0.14273,0.07008,0.07265,0.02454,0.01965,0.08069,0.06543,0.19006,0.21198,0.23764,0.21951,0.15896,0.17496,0.11235
c717f3a6-7b14-4f61-b395-89d63b0c6e73,llava,Nigeria,True,0.52143,0.47136,0.05007,0.54282,0.49043,0.46498,0.60185,0.67098,0.51442,0.37266,0.54075,0.60572,0.6087,0.14474
4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,llava,Brazil,False,0.04477,0.04622,-0.00145,0.06453,0.04398,0.04226,0.03974,0.04804,0.03411,0.04603,0.04557,0.0346,0.04489,0.07242
6e72fc43-14d2-40a5-863c-62d14dc5facb,llava,Ethiopia,False,0.0566,0.11466,-0.05807,0.0786,0.02367,0.02435,0.03903,0.03508,0.034,0.00972,0.01783,0.03245,0.21236,0.1963
60c2f1e2-820c-4c10-a873-af1a75d9e4db,llava,Nigeria,True,0.91047,0.93161,-0.02114,0.99608,0.99008,0.97291,0.9856,0.98629,0.98005,0.97854,0.98367,0.94052,0.70431,0.16928
0ce7d616-31bd-4eac-99ec-195e0172b4fc,llava,Brazil,False,0.01374,0.01752,-0.00378,0.00338,0.00278,0.0021,0.00392,0.00322,0.00515,0.00764,0.01468,0.01192,0.03427,0.10016
3a181f33-846c-43f8-8512-5919ce7088bf,llava,Brazil,False,0.03328,0.03606,-0.00278,0.0321,0.01502,0.01517,0.01517,0.03053,0.02551,0.03492,0.0327,0.06232,0.04378,0.08331
67fa11a3-fa1f-4817-a189-87f38daf3011,llava,Brazil,False,0.07007,0.08045,-0.01038,0.10643,0.07196,0.08475,0.07407,0.05625,0.03091,0.0324,0.05572,0.11985,0.07553,0.09214
6518121e-ba08-4e76-aa33-2c2e00598fdd,llava,Nigeria,True,0.50609,0.67561,-0.16952,0.44355,0.57551,0.6823,0.53357,0.45318,0.31454,0.75232,0.75429,0.43498,0.25594,0.16499
dc012abe-5e86-41c4-b740-a9e91a0fe240,llava,Brazil,False,0.02721,0.01595,0.01126,0.01522,0.00667,0.00658,0.00912,0.0072,0.00851,0.01264,0.01797,0.0765,0.08033,0.07803
3b78bd2d-5f55-4480-8637-ccc22c549402,llava,Nigeria,True,0.72756,0.5503,0.17726,0.95835,0.7239,0.82616,0.83778,0.89943,0.81073,0.75446,0.71799,0.68627,0.354,0.37141
9ace2f1e-6a06-45ba-bed9-46ac3b80b038,llava,Brazil,False,0.03752,0.04176,-0.00424,0.10597,0.03724,0.02135,0.08875,0.02943,0.03083,0.01293,0.02793,0.01642,0.01286,0.08903
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,llava,Brazil,False,0.08764,0.05928,0.02836,0.13213,0.14522,0.11216,0.05638,0.0615,0.05607,0.05048,0.0367,0.10971,0.12943,0.10528
69a710fd-f216-43b8-9ec6-8fd324c49690,llava,Brazil,False,0.05659,0.05,0.0066,0.03521,0.03395,0.04239,0.0624,0.02814,0.03309,0.06342,0.07569,0.05205,0.11575,0.08289
30beeebf-ea67-484f-93a7-2cfd29242fe4,llava,Brazil,False,0.02923,0.03335,-0.00411,0.00395,0.00696,0.00923,0.00983,0.00874,0.02392,0.02674,0.03724,0.0653,0.06817,0.06842
6edf17b0-f94a-42d4-b233-4234439deda4,llava,Brazil,False,0.02834,0.03442,-0.00608,0.0193,0.00283,0.00902,0.0083,0.01912,0.02609,0.0302,0.03833,0.034,0.07338,0.065
c6582a96-d4df-4b5a-8a86-3652687aa1e8,llava,Brazil,False,0.02466,0.03557,-0.01091,0.01294,0.01386,0.02182,0.01823,0.02803,0.01668,0.00922,0.01476,0.02182,0.05592,0.07962
13f37320-7bb5-4232-9bf2-8f28c57c4582,llava,Canada,False,0.18506,0.19485,-0.00979,0.27534,0.2277,0.18459,0.17012,0.1923,0.2044,0.2169,0.17295,0.17351,0.15173,0.0375
9e63b44b-6f24-4288-9b27-8626e11bf0a3,llava,Brazil,False,0.03887,0.04759,-0.00872,0.02294,0.02559,0.02559,0.04038,0.03849,0.04134,0.04303,0.04411,0.03246,0.04043,0.09162
a2dcde1c-1b2c-4936-ac07-8e912413e23e,llava,Turkey,False,0.09695,0.11233,-0.01538,0.60949,0.06591,0.05822,0.05689,0.0476,0.07501,0.08946,0.06126,0.09147,0.09856,0.04078
6f5bf0aa-f72d-4e5d-8ac8-bcc1761d0f8a,llava,Brazil,False,0.1564,0.26583,-0.10943,0.0143,0.06932,0.08639,0.11874,0.07307,0.26588,0.20969,0.18934,0.24668,0.2584,0.07866
41388d0a-c0cd-4947-a415-db9ba4893bcd,llava,Canada,False,0.10398,0.11645,-0.01248,0.12041,0.0766,0.07105,0.06148,0.09413,0.13975,0.14529,0.1427,0.16368,0.06118,0.04742
4455c508-07a5-483c-a247-92904d635fee,llava,Canada,False,0.16391,0.1166,0.04731,0.18362,0.15889,0.15205,0.16238,0.14212,0.12561,0.12826,0.14249,0.22784,0.29556,0.02413
9e592190-7413-4778-8631-3908e7577661,llava,Ethiopia,False,0.62507,0.68823,-0.06316,0.97802,0.91083,0.9064,0.91471,0.64878,0.56101,0.55678,0.54692,0.34248,0.2497,0.24814
a6b53f36-7864-4876-a058-7e0be321388b,llava,Canada,False,0.02648,0.04065,-0.01418,0.01698,0.02503,0.02946,0.02596,0.02626,0.02196,0.02894,0.02575,0.03452,0.01645,0.04389
5473783d-ba57-45b2-8414-33eb26c36ccf,llava,Canada,False,0.13024,0.12994,0.00031,0.23698,0.15386,0.18803,0.07892,0.09312,0.08995,0.12842,0.18489,0.16296,0.06919,0.06919
89df03ce-b19f-474d-8f36-e9b41be7d3d5,llava,Canada,False,0.11789,0.14417,-0.02628,0.15922,0.06309,0.08052,0.13002,0.16371,0.14618,0.20141,0.13141,0.13278,0.04002,0.02029
7d6f190c-4df7-4306-a1e9-b87ed1e3087c,llava,Canada,False,0.10373,0.07825,0.02548,0.08765,0.06066,0.06929,0.06286,0.10021,0.0924,0.11863,0.16448,0.15379,0.1175,0.10732
ff57c370-a704-49a2-8662-f040dca197df,llava,Canada,False,0.067,0.08984,-0.02284,0.04801,0.04801,0.05403,0.05201,0.06241,0.05972,0.06515,0.08483,0.08324,0.1114,0.05043
87a16f79-2e21-4b11-93b2-4871169911e7,llava,USA,True,0.36157,0.67901,-0.31744,0.97582,0.88754,0.75417,0.56728,0.48729,0.2149,0.10424,0.04234,0.03174,0.02303,0.03061
1880497c-e945-4689-839e-03022a70d7a7,llava,USA,True,0.25312,0.4146,-0.16149,0.85652,0.30316,0.27944,0.37329,0.33142,0.363,0.2538,0.04715,0.05351,0.06243,0.07142
4436f0b0-f4fe-4383-911d-4640c75d9018,llava,Brazil,False,0.06794,0.05516,0.01279,0.07135,0.10522,0.05701,0.08379,0.07676,0.07076,0.08616,0.07225,0.01282,0.03267,0.09262
46718728-a72a-4651-a2dc-d9d39b32ab74,llava,Canada,False,0.0469,0.05269,-0.00579,0.03956,0.04095,0.04536,0.0431,0.03958,0.05052,0.05044,0.0508,0.05457,0.03399,0.07978
87cc957e-bd81-4ea9-8d40-d6d9bce4ec76,llava,Germany,False,0.16863,0.14782,0.02082,0.30886,0.19452,0.19322,0.56237,0.06286,0.04467,0.07754,0.0827,0.09775,0.18138,0.06977
2b697bc6-809b-4d92-aa10-10c31472acaa,llava,Germany,False,0.08567,0.21605,-0.13037,0.24385,0.10823,0.07145,0.05761,0.06786,0.06484,0.05611,0.10198,0.1125,0.05716,0.07413
f3dee24e-9af4-4a3e-b21c-ad8bf74510dc,llava,Nigeria,False,0.29387,0.67262,-0.37875,0.96599,0.73854,0.16734,0.09751,0.08836,0.25841,0.22507,0.25596,0.26781,0.28268,0.14805
b6aaf31f-d668-4f6e-9d34-c7ecbfa7c8a8,llava,Brazil,False,0.0323,0.03568,-0.00338,0.01063,0.0067,0.00475,0.01409,0.01515,0.0649,0.03563,0.1065,0.02881,0.01529,0.05167
9f2b9f74-faa4-4b54-a4f1-aa65e32cb9f9,llava,Brazil,False,0.09256,0.10354,-0.01098,0.05861,0.04697,0.0679,0.11816,0.18093,0.16891,0.06685,0.08381,0.07176,0.06054,0.06103
7cd63749-44d8-4024-ac6c-727bde0ae91a,llava,Brazil,False,0.05165,0.06609,-0.01445,0.06464,0.05925,0.05324,0.06593,0.046,0.05707,0.046,0.04265,0.03235,0.04552,0.07228
dca004c5-3d95-44e6-95ef-8116165e04a3,llava,USA,True,0.16675,0.22508,-0.05832,0.31771,0.12613,0.20642,0.15195,0.13459,0.15873,0.17093,0.17096,0.19674,0.16576,0.05297
d527b146-00a1-41fb-8671-6114ee9cabb9,llava,USA,True,0.18117,0.24745,-0.06629,0.75707,0.44988,0.17828,0.18769,0.14597,0.15459,0.1228,0.09716,0.04792,0.02943,0.03884
2fd3e1c4-4980-4f7d-8876-69cd79654a75,llava,Brazil,False,0.10903,0.09286,0.01617,0.05861,0.05282,0.09113,0.10598,0.1341,0.18195,0.15932,0.10321,0.09575,0.10618,0.06103
41e6fcd3-a802-4639-a9f3-3943c6b1242a,llava,Canada,False,0.115,0.14342,-0.02842,0.11812,0.06506,0.06909,0.0777,0.1343,0.18831,0.13398,0.08525,0.1259,0.18596,0.05078
6a8d47c3-55db-4f2d-b7e0-6c25b6a268c8,llava,Brazil,False,0.04844,0.0562,-0.00775,0.00721,0.03218,0.02667,0.05409,0.0466,0.05454,0.07168,0.05256,0.0551,0.0515,0.07178
b577985c-6eca-41d4-805c-13fdb8822df8,llava,India,True,0.33733,0.29771,0.03962,0.94319,0.83995,0.74182,0.34657,0.15177,0.11695,0.14309,0.15476,0.18062,0.14252,0.16727
fdc20e45-b3db-48bd-946b-8969194f3fde,llava,Canada,False,0.05511,0.05085,0.00426,0.04811,0.04312,0.04368,0.03769,0.05338,0.05811,0.06288,0.04099,0.09814,0.05647,0.06522
9844e1be-1620-44ee-ac68-57ae9d58ab4f,llava,Brazil,False,0.01442,0.02588,-0.01146,0.00285,0.00425,0.00358,0.00355,0.0052,0.00421,0.00473,0.00801,0.04688,0.02533,0.07413
eced265e-c274-45b9-9e1d-16ab6fbad9cd,llava,Nigeria,False,0.11232,0.10077,0.01155,0.0157,0.01931,0.03251,0.02964,0.04588,0.07083,0.25803,0.16348,0.23262,0.20253,0.1211
a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,llava,India,True,0.62325,0.58936,0.03389,0.89819,0.95112,0.95597,0.91201,0.81194,0.78598,0.61985,0.33755,0.17924,0.14509,0.1694
0c06402c-32eb-4fb0-bd5c-3d8ce5f6e9e2,llava,India,True,0.36619,0.41846,-0.05227,0.92023,0.87168,0.74394,0.48449,0.29502,0.27518,0.17677,0.11036,0.0871,0.11303,0.0884
ac9a3d5c-63dd-4fbd-9676-9f913f4029f3,llava,India,True,0.29601,0.80171,-0.5057,0.96986,0.92176,0.16652,0.2079,0.1342,0.18019,0.22772,0.22559,0.16388,0.18842,0.11791
520f8c8b-3426-4a8e-affd-07b0c26f954b,llava,India,True,0.46735,0.49345,-0.0261,0.82473,0.84886,0.83488,0.78089,0.4615,0.33779,0.19799,0.27296,0.27112,0.19882,0.11262
d4d631c2-4c15-4f43-b3bb-bd1fe3157b64,llava,Canada,False,0.04344,0.07581,-0.03238,0.03925,0.02292,0.02304,0.02682,0.02329,0.01777,0.03138,0.04504,0.07147,0.11472,0.07658
0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,llava,Canada,False,0.09905,0.10855,-0.0095,0.10829,0.04742,0.05161,0.04896,0.04377,0.05716,0.14606,0.17314,0.15909,0.18235,0.05352
be330458-bfe8-4b6d-ab4f-0e121faca59d,llava,India,True,0.56867,0.71193,-0.14327,0.69549,0.88003,0.92691,0.71179,0.56605,0.59396,0.37967,0.37152,0.33204,0.51597,0.12197
ae89905e-966f-43f0-8c0f-cc4ce1b87ac1,llava,Canada,False,0.17687,0.18846,-0.01159,0.06533,0.17631,0.15462,0.2609,0.41322,0.27526,0.17345,0.14317,0.04128,0.06452,0.06663
3156bba1-7c6d-417e-8841-d6319dc7e3af,llava,Brazil,False,0.23183,0.12142,0.11041,0.28592,0.20309,0.25091,0.18946,0.24826,0.26045,0.30149,0.27773,0.24824,0.16751,0.05647
dad09341-9891-4f9e-b292-1f834f9fedc4,llava,Brazil,False,0.04535,0.04681,-0.00146,0.06759,0.04779,0.03476,0.05401,0.04003,0.04775,0.0525,0.06143,0.03809,0.01546,0.05574
9e192054-6b30-44b3-841f-785853bfe7e4,llava,Brazil,False,0.0161,0.01399,0.00211,0.00743,0.01247,0.01075,0.01303,0.02009,0.0155,0.01036,0.01019,0.01208,0.02949,0.04661
4048bef4-586f-466a-8f53-3a1332979fcd,llava,Canada,False,0.04567,0.06127,-0.0156,0.02996,0.02879,0.02205,0.03123,0.03277,0.03633,0.04337,0.07267,0.08629,0.05697,0.06248
c62249de-cc8b-43b7-aa90-842dbd8d89e2,llava,Brazil,False,0.03367,0.0213,0.01237,0.02223,0.01816,0.01841,0.02361,0.01915,0.04475,0.04006,0.03581,0.03739,0.04426,0.08793
6ec6b59a-9126-4462-89ee-df55d996f4ab,llava,Turkey,False,0.11583,0.089,0.02683,0.03008,0.03632,0.16956,0.1209,0.17382,0.15798,0.16827,0.13104,0.1126,0.04681,0.05185
5c7b7038-b58d-4a21-b867-b7a72612ff55,llava,Brazil,False,0.03993,0.03592,0.00402,0.06921,0.02594,0.01221,0.02378,0.04768,0.03229,0.03865,0.03357,0.03096,0.06366,0.112
39e397ed-fa8c-40ee-974d-b2f01e397e64,llava,Brazil,False,0.12583,0.15183,-0.026,0.16373,0.10661,0.11048,0.17453,0.16174,0.12544,0.14789,0.12976,0.08111,0.10743,0.06296
a82f3319-8037-44df-bcab-0d39d14590e6,llava,Brazil,False,0.04724,0.03611,0.01113,0.03504,0.02262,0.0327,0.03392,0.04711,0.04849,0.06984,0.05046,0.0559,0.06537,0.05693
3bbeaac4-39d5-449f-b8e0-69a66bbb9400,llava,Canada,False,0.03953,0.0583,-0.01876,0.02615,0.02495,0.02922,0.0283,0.03853,0.03786,0.04069,0.04515,0.05879,0.05281,0.05195
4e2b3e11-9de8-4bfb-99c2-0bac3f7c7618,llava,Brazil,False,0.06029,0.08235,-0.02206,0.13548,0.05656,0.05048,0.05736,0.0605,0.04306,0.05707,0.0449,0.04646,0.07917,0.07917
e43999fc-df28-41f1-982f-64a51d79acb7,llava,Turkey,True,0.06727,0.08553,-0.01826,0.40305,0.08164,0.07405,0.05548,0.06663,0.03352,0.04464,0.03128,0.02105,0.04036,0.04505
c3a1ddb5-f12f-4806-bda6-4189d38228d7,llava,Brazil,False,0.02493,0.01433,0.0106,0.00013,0.00018,0.00212,0.01935,0.02728,0.03018,0.03277,0.04243,0.03181,0.02982,0.06665
a950d18e-1dbc-46c8-955e-4bbf4f41aadb,llava,Turkey,True,0.65462,0.60134,0.05328,0.99175,0.97818,0.9704,0.96367,0.97389,0.95937,0.74783,0.24113,0.13829,0.05552,0.04407
2b049977-6bfc-4a19-b59a-c9e2beffab94,llava,Brazil,False,0.09521,0.10524,-0.01003,0.07685,0.13149,0.07728,0.06233,0.06797,0.10565,0.11576,0.16038,0.06131,0.09007,0.08285
2329409d-2712-4aa5-96d1-2cd16298f150,llava,Brazil,False,0.03115,0.03197,-0.00082,0.00197,0.00509,0.00766,0.01349,0.01008,0.00951,0.01415,0.03026,0.07617,0.11338,0.06141
a7465e78-a57b-4a6c-bbcf-9214feeafb74,llava,Germany,False,0.04544,0.06037,-0.01492,0.02675,0.03488,0.04093,0.03278,0.00992,0.01922,0.0417,0.09642,0.03928,0.08396,0.08396
fc76de15-b866-4251-af12-bd76901f7c3d,llava,Turkey,True,0.06809,0.10651,-0.03841,0.67557,0.04225,0.03096,0.03802,0.02446,0.02671,0.0331,0.03164,0.05595,0.0432,0.03374
