u_id,model,pred_country,correct,auc_ranked,auc_random,auc_gap,conf_step0,conf_step1,conf_step2,conf_step3,conf_step4,conf_step5,conf_step6,conf_step7,conf_step8,conf_step9,conf_step10
8869939b-17da-472e-8637-58d80e9291e7,clip,Canada,True,0.10531,0.1936,-0.08829,0.28248,0.06004,0.07523,0.09994,0.10641,0.10942,0.10942,0.10942,0.09396,0.11075,0.07458
184d6c08-7237-4f6b-b49d-04b5b2bef635,clip,Canada,True,0.70687,0.80017,-0.0933,0.98676,0.89319,0.76498,0.77068,0.75068,0.75184,0.75184,0.75184,0.6923,0.41503,0.06584
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,clip,Canada,True,0.09006,0.15914,-0.06908,0.23723,0.11331,0.12093,0.15521,0.11681,0.05013,0.05013,0.05013,0.05013,0.05013,0.05013
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,clip,Canada,True,0.11755,0.25438,-0.13683,0.54833,0.18817,0.1296,0.07517,0.11575,0.10381,0.11901,0.04431,0.05022,0.05022,0.05022
0c62e0fb-0aea-49a7-b333-b15a64c8359f,clip,Turkey,False,0.3942,0.36308,0.03112,0.4533,0.45662,0.45161,0.45255,0.50326,0.60726,0.42446,0.21054,0.29902,0.27412,0.07183
7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,clip,Canada,True,0.06634,0.07595,-0.00961,0.13373,0.07376,0.07849,0.05781,0.06819,0.05528,0.06738,0.0621,0.0621,0.04274,0.05736
fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,clip,Germany,False,0.06481,0.07676,-0.01195,0.08683,0.1053,0.08407,0.07398,0.04574,0.04259,0.05193,0.06449,0.04936,0.05821,0.05804
b5ddf9ce-952d-4fe5-a878-b1ffe90ff1ef,clip,USA,False,0.16411,0.22225,-0.05814,0.23108,0.1063,0.19333,0.10273,0.07697,0.09923,0.22738,0.22738,0.22738,0.22738,0.07486
4f04c1f6-a284-4219-9412-beacc222f51d,clip,Germany,False,0.16353,0.31995,-0.15642,0.66108,0.19756,0.15878,0.09727,0.10144,0.12542,0.15841,0.13808,0.14527,0.14593,0.07316
fa9d08f1-413b-4a05-b058-380843d46806,clip,Canada,True,0.06097,0.10219,-0.04121,0.19774,0.02955,0.03257,0.05926,0.06862,0.04808,0.06656,0.06656,0.06656,0.05532,0.0356
746e8569-1091-499b-8de8-08bce681dd84,clip,Canada,True,0.91789,0.78614,0.13175,0.98419,0.97669,0.97263,0.96591,0.95613,0.95959,0.95356,0.95856,0.94482,0.96998,0.05784
19ae4ab7-a1b1-47c9-a81d-24a4020df41a,clip,Brazil,False,0.14067,0.13825,0.00241,0.39104,0.15964,0.18544,0.14216,0.12924,0.10088,0.10088,0.10088,0.10163,0.13955,0.10167
318807ce-d521-41f7-b9b2-e533deb7a178,clip,USA,False,0.20151,0.29187,-0.09036,0.73182,0.4151,0.22744,0.17628,0.11041,0.1352,0.1352,0.1352,0.17448,0.12322,0.03331
acd68d0e-9d10-40ef-9fd1-cbdc720808ef,clip,Canada,True,0.32569,0.74213,-0.41644,0.9986,0.98455,0.45103,0.37123,0.27743,0.12252,0.05946,0.17385,0.17826,0.11184,0.05486
591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,clip,Canada,True,0.16178,0.44255,-0.28076,0.66989,0.58909,0.24476,0.04036,0.02999,0.02806,0.03776,0.09227,0.09227,0.09227,0.07207
bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,clip,Canada,True,0.74226,0.93217,-0.18992,0.98943,0.97977,0.96049,0.96741,0.95349,0.96172,0.9648,0.37265,0.37265,0.37265,0.04444
87161e09-edf6-46a7-acf4-1d2ba9f61348,clip,Canada,True,0.46188,0.50039,-0.03852,0.46028,0.57943,0.77148,0.65835,0.6959,0.46759,0.36031,0.31583,0.42677,0.09107,0.04375
31824d6c-cdda-43df-9792-17cb3f44217d,clip,Rwanda,False,0.09182,0.12325,-0.03142,0.26931,0.0498,0.08382,0.11447,0.0842,0.07119,0.07119,0.07119,0.07119,0.07119,0.19068
7409a04b-e4e0-48a6-83aa-9ea94eeb78da,clip,Germany,False,0.08131,0.08502,-0.0037,0.26592,0.11385,0.11011,0.14466,0.08068,0.04343,0.02633,0.03489,0.05037,0.05037,0.05088
a2ccb005-d747-43f8-8315-2518a1ece07d,clip,Rwanda,False,0.13771,0.21634,-0.07863,0.24973,0.13374,0.12209,0.15285,0.15285,0.08907,0.12044,0.08422,0.14275,0.12687,0.2547
bb027c12-2666-421b-a523-4bd7c4c30f20,clip,Brazil,False,0.05902,0.11007,-0.05105,0.17885,0.03108,0.02391,0.01857,0.02434,0.09181,0.08677,0.06719,0.06719,0.06719,0.04535
4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,clip,Rwanda,False,0.32449,0.52092,-0.19643,0.72545,0.32293,0.29325,0.31562,0.31041,0.54807,0.24593,0.41455,0.23128,0.1208,0.15865
98b439d0-91bc-40ba-8d77-ec2889c96666,clip,Nigeria,True,0.54295,0.56738,-0.02443,0.61901,0.54323,0.40968,0.41262,0.31783,0.44549,0.70963,0.69172,0.74055,0.71084,0.27681
4457fdf9-a623-41bd-8a0d-fd42128f38b3,clip,Nigeria,True,0.54105,0.63668,-0.09564,0.7313,0.62584,0.64939,0.55736,0.36021,0.52161,0.4596,0.4596,0.62744,0.65055,0.26644
2c1bd295-9cde-47af-af0e-202c03272d01,clip,Nigeria,True,0.69704,0.61298,0.08407,0.84372,0.75819,0.77733,0.8051,0.80689,0.80689,0.80689,0.69556,0.60142,0.41377,0.15313
da343301-2fc3-42b9-9d8e-7f90b000f00f,clip,Rwanda,False,0.773,0.66852,0.10448,0.89733,0.8474,0.79328,0.79328,0.79328,0.79328,0.78831,0.76696,0.73734,0.84815,0.24003
c717f3a6-7b14-4f61-b395-89d63b0c6e73,clip,Nigeria,True,0.25066,0.45718,-0.20652,0.54282,0.41282,0.2536,0.12046,0.06811,0.0819,0.21214,0.17048,0.39355,0.44978,0.14474
4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,clip,Rwanda,False,0.32487,0.30669,0.01817,0.53418,0.50777,0.44607,0.37339,0.32353,0.3189,0.22199,0.22878,0.12513,0.33411,0.2038
6e72fc43-14d2-40a5-863c-62d14dc5facb,clip,Rwanda,False,0.11783,0.20912,-0.09129,0.32396,0.05076,0.0284,0.05865,0.09924,0.11929,0.11929,0.11929,0.13042,0.21349,0.15503
60c2f1e2-820c-4c10-a873-af1a75d9e4db,clip,Nigeria,True,0.83236,0.88264,-0.05029,0.99608,0.98071,0.96282,0.96694,0.91748,0.91984,0.89582,0.89654,0.67196,0.52877,0.16928
0ce7d616-31bd-4eac-99ec-195e0172b4fc,clip,Rwanda,False,0.4663,0.48317,-0.01688,0.81842,0.65088,0.56016,0.50596,0.50596,0.50596,0.57333,0.39008,0.30349,0.20159,0.11268
3a181f33-846c-43f8-8512-5919ce7088bf,clip,India,False,0.16913,0.26269,-0.09356,0.72792,0.10749,0.14968,0.14968,0.14968,0.14968,0.14968,0.14823,0.17458,0.09733,0.10262
67fa11a3-fa1f-4817-a189-87f38daf3011,clip,Brazil,False,0.05733,0.07757,-0.02025,0.10643,0.06287,0.05268,0.03962,0.05749,0.06486,0.05439,0.0548,0.0518,0.04137,0.08034
6518121e-ba08-4e76-aa33-2c2e00598fdd,clip,Rwanda,False,0.12794,0.31307,-0.18513,0.49177,0.0783,0.10521,0.11353,0.03935,0.01784,0.01958,0.03078,0.31194,0.209,0.21606
dc012abe-5e86-41c4-b740-a9e91a0fe240,clip,Rwanda,False,0.23327,0.22537,0.0079,0.41077,0.26326,0.18005,0.18005,0.14499,0.27971,0.35225,0.30319,0.23598,0.11466,0.14632
3b78bd2d-5f55-4480-8637-ccc22c549402,clip,Nigeria,True,0.40435,0.63449,-0.23014,0.95835,0.30569,0.512,0.44688,0.3848,0.32437,0.32437,0.32437,0.28955,0.46659,0.37141
9ace2f1e-6a06-45ba-bed9-46ac3b80b038,clip,Rwanda,False,0.18369,0.26968,-0.08599,0.46053,0.25838,0.21858,0.14518,0.12499,0.16526,0.16538,0.16538,0.16538,0.15395,0.08829
ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,clip,USA,False,0.05758,0.0909,-0.03332,0.18779,0.01585,0.04004,0.07416,0.10343,0.03543,0.03872,0.04682,0.05097,0.05097,0.05097
69a710fd-f216-43b8-9ec6-8fd324c49690,clip,Nigeria,True,0.55684,0.49936,0.05748,0.30593,0.68248,0.64848,0.74851,0.73293,0.55576,0.59233,0.63757,0.49759,0.211,0.21753
30beeebf-ea67-484f-93a7-2cfd29242fe4,clip,Nigeria,True,0.74197,0.75702,-0.01505,0.94244,0.74989,0.90255,0.88898,0.86176,0.86176,0.86176,0.81622,0.59831,0.34481,0.12489
6edf17b0-f94a-42d4-b233-4234439deda4,clip,Nigeria,True,0.47522,0.42829,0.04693,0.82475,0.56453,0.55573,0.55573,0.55573,0.62439,0.39665,0.30171,0.35114,0.35675,0.15496
c6582a96-d4df-4b5a-8a86-3652687aa1e8,clip,Nigeria,True,0.18681,0.21247,-0.02566,0.27257,0.1907,0.24117,0.1689,0.11913,0.21578,0.14448,0.15772,0.16829,0.25654,0.13824
13f37320-7bb5-4232-9bf2-8f28c57c4582,clip,USA,True,0.13432,0.18642,-0.0521,0.4295,0.25795,0.2383,0.19697,0.09645,0.06152,0.07444,0.07444,0.07444,0.03982,0.0282
9e63b44b-6f24-4288-9b27-8626e11bf0a3,clip,Turkey,False,0.13831,0.19687,-0.05856,0.56063,0.21071,0.18184,0.19775,0.1656,0.13136,0.1023,0.03095,0.03095,0.03095,0.04085
a2dcde1c-1b2c-4936-ac07-8e912413e23e,clip,Turkey,False,0.08553,0.11552,-0.02999,0.60949,0.11086,0.06292,0.06163,0.05053,0.056,0.03704,0.05198,0.04958,0.04958,0.04078
6f5bf0aa-f72d-4e5d-8ac8-bcc1761d0f8a,clip,USA,True,0.05658,0.16523,-0.10865,0.57137,0.07702,0.02404,0.01123,0.00225,0.00642,0.01357,0.05193,0.03706,0.03443,0.04436
41388d0a-c0cd-4947-a415-db9ba4893bcd,clip,USA,True,0.14178,0.1804,-0.03862,0.73371,0.35348,0.17031,0.23964,0.08667,0.03762,0.03627,0.03627,0.03627,0.03627,0.03627
4455c508-07a5-483c-a247-92904d635fee,clip,USA,True,0.09305,0.15723,-0.06417,0.41893,0.13943,0.15653,0.15958,0.13986,0.04342,0.01828,0.01828,0.01828,0.01828,0.01828
9e592190-7413-4778-8631-3908e7577661,clip,Ethiopia,False,0.48614,0.70054,-0.2144,0.97802,0.92001,0.79496,0.5923,0.37517,0.37156,0.37156,0.35973,0.20859,0.25443,0.24814
a6b53f36-7864-4876-a058-7e0be321388b,clip,USA,True,0.03852,0.11952,-0.081,0.19636,0.06716,0.07112,0.02716,0.02029,0.01081,0.01081,0.01081,0.02013,0.03326,0.03102
5473783d-ba57-45b2-8414-33eb26c36ccf,clip,USA,True,0.09555,0.15485,-0.0593,0.41005,0.11892,0.11689,0.08765,0.06922,0.05348,0.05348,0.05348,0.05724,0.10274,0.07487
89df03ce-b19f-474d-8f36-e9b41be7d3d5,clip,USA,True,0.06661,0.16377,-0.09717,0.73367,0.10081,0.02679,0.03494,0.02819,0.02957,0.01701,0.01701,0.01701,0.01772,0.02038
7d6f190c-4df7-4306-a1e9-b87ed1e3087c,clip,USA,True,0.07227,0.13095,-0.05868,0.69826,0.07109,0.03935,0.02669,0.03156,0.02229,0.03398,0.04371,0.04371,0.04371,0.03485
ff57c370-a704-49a2-8662-f040dca197df,clip,USA,True,0.04667,0.06746,-0.02079,0.19862,0.05039,0.04414,0.03514,0.02727,0.02586,0.03306,0.02795,0.04943,0.04943,0.04943
87a16f79-2e21-4b11-93b2-4871169911e7,clip,USA,True,0.37434,0.62371,-0.24937,0.97582,0.88968,0.63327,0.58333,0.42384,0.28492,0.14122,0.15077,0.05049,0.08641,0.02305
1880497c-e945-4689-839e-03022a70d7a7,clip,USA,True,0.31521,0.46407,-0.14886,0.85652,0.67411,0.68942,0.6162,0.21733,0.13416,0.08915,0.14713,0.08229,0.03341,0.08132
4436f0b0-f4fe-4383-911d-4640c75d9018,clip,Ethiopia,False,0.11133,0.20747,-0.09615,0.31939,0.04306,0.02734,0.02918,0.04715,0.05564,0.08232,0.16945,0.18619,0.23157,0.16339
46718728-a72a-4651-a2dc-d9d39b32ab74,clip,USA,True,0.04648,0.0668,-0.02032,0.1243,0.06032,0.03151,0.03698,0.03018,0.02669,0.078,0.02793,0.02793,0.02793,0.11036
87cc957e-bd81-4ea9-8d40-d6d9bce4ec76,clip,Turkey,False,0.06754,0.09039,-0.02285,0.18674,0.11635,0.10064,0.07236,0.05921,0.05921,0.05055,0.04795,0.02655,0.02792,0.04263
2b697bc6-809b-4d92-aa10-10c31472acaa,clip,USA,True,0.0726,0.12408,-0.05147,0.35864,0.09184,0.08705,0.03205,0.03811,0.05036,0.05036,0.05036,0.05573,0.06559,0.05057
f3dee24e-9af4-4a3e-b21c-ad8bf74510dc,clip,Nigeria,False,0.91347,0.55264,0.36083,0.96599,0.92533,0.95688,0.95688,0.95688,0.95688,0.95688,0.95775,0.94684,0.96335,0.14805
b6aaf31f-d668-4f6e-9d34-c7ecbfa7c8a8,clip,USA,True,0.51382,0.74342,-0.2296,0.88462,0.59556,0.57023,0.6576,0.63485,0.58891,0.62519,0.48585,0.23733,0.23733,0.12616
9f2b9f74-faa4-4b54-a4f1-aa65e32cb9f9,clip,Rwanda,False,0.13683,0.16436,-0.02753,0.15039,0.0822,0.14344,0.10559,0.12139,0.12139,0.12568,0.08914,0.17963,0.25345,0.14235
7cd63749-44d8-4024-ac6c-727bde0ae91a,clip,Germany,False,0.06862,0.08462,-0.01601,0.11765,0.07512,0.06396,0.0735,0.0779,0.06404,0.07592,0.0504,0.04483,0.05316,0.09699
dca004c5-3d95-44e6-95ef-8116165e04a3,clip,USA,True,0.22113,0.16353,0.05761,0.31771,0.36175,0.22266,0.20498,0.20619,0.20619,0.20619,0.21898,0.2353,0.16234,0.05574
d527b146-00a1-41fb-8671-6114ee9cabb9,clip,USA,True,0.1099,0.58174,-0.47184,0.75707,0.16619,0.07836,0.07317,0.05905,0.06947,0.06947,0.06947,0.06947,0.04637,0.03884
2fd3e1c4-4980-4f7d-8876-69cd79654a75,clip,Rwanda,False,0.13683,0.15508,-0.01825,0.15039,0.0822,0.14344,0.10559,0.12139,0.12139,0.12568,0.08914,0.17963,0.25345,0.14235
41e6fcd3-a802-4639-a9f3-3943c6b1242a,clip,China,False,0.06402,0.15455,-0.09052,0.35828,0.26066,0.0308,0.01732,0.01732,0.01732,0.01732,0.01732,0.0255,0.0225,0.07006
6a8d47c3-55db-4f2d-b7e0-6c25b6a268c8,clip,USA,False,0.07306,0.08225,-0.00918,0.31117,0.07623,0.07236,0.05308,0.05527,0.06832,0.06832,0.06832,0.03676,0.04445,0.06393
b577985c-6eca-41d4-805c-13fdb8822df8,clip,India,True,0.1827,0.75544,-0.57274,0.94319,0.53106,0.08413,0.00383,0.01966,0.06734,0.19516,0.12706,0.12706,0.12706,0.14606
fdc20e45-b3db-48bd-946b-8969194f3fde,clip,Rwanda,False,0.276,0.31365,-0.03764,0.36715,0.29327,0.32385,0.28164,0.28164,0.28164,0.30176,0.30266,0.20969,0.16384,0.27288
9844e1be-1620-44ee-ac68-57ae9d58ab4f,clip,India,True,0.43268,0.60788,-0.1752,0.98761,0.70193,0.62954,0.44955,0.68379,0.33123,0.29565,0.29565,0.28537,0.10593,0.10874
eced265e-c274-45b9-9e1d-16ab6fbad9cd,clip,India,True,0.37958,0.69312,-0.31353,0.95541,0.15099,0.18716,0.56268,0.49405,0.44103,0.56738,0.36263,0.25692,0.22608,0.13845
a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,clip,India,True,0.31383,0.6273,-0.31347,0.89819,0.4951,0.41146,0.19377,0.19377,0.41549,0.33896,0.23618,0.10879,0.21099,0.1694
0c06402c-32eb-4fb0-bd5c-3d8ce5f6e9e2,clip,India,True,0.48203,0.71188,-0.22984,0.92023,0.86911,0.87589,0.68944,0.64004,0.33535,0.22609,0.24651,0.21678,0.21678,0.0884
ac9a3d5c-63dd-4fbd-9676-9f913f4029f3,clip,India,True,0.26021,0.51203,-0.25182,0.96986,0.57537,0.22944,0.13011,0.18698,0.23041,0.22079,0.18551,0.14978,0.14978,0.11791
520f8c8b-3426-4a8e-affd-07b0c26f954b,clip,India,True,0.33402,0.33874,-0.00472,0.82473,0.58908,0.32986,0.32986,0.32986,0.24077,0.31396,0.35888,0.17137,0.20785,0.11262
d4d631c2-4c15-4f43-b3bb-bd1fe3157b64,clip,India,True,0.2013,0.39305,-0.19175,0.85397,0.40762,0.25459,0.15923,0.20246,0.13526,0.06518,0.10343,0.09119,0.11446,0.10521
0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,clip,Canada,False,0.09648,0.17773,-0.08126,0.10829,0.04671,0.07206,0.05011,0.08769,0.2032,0.17224,0.08396,0.08396,0.08396,0.05352
be330458-bfe8-4b6d-ab4f-0e121faca59d,clip,India,True,0.64594,0.75041,-0.10447,0.69549,0.65017,0.48169,0.68445,0.68445,0.68445,0.7738,0.76141,0.88268,0.44754,0.12197
ae89905e-966f-43f0-8c0f-cc4ce1b87ac1,clip,Iran,False,0.07877,0.11812,-0.03935,0.28457,0.16216,0.07417,0.04455,0.07446,0.06353,0.05715,0.05715,0.0568,0.03484,0.04119
3156bba1-7c6d-417e-8841-d6319dc7e3af,clip,Rwanda,False,0.25482,0.24757,0.00725,0.22877,0.30313,0.19911,0.15689,0.28167,0.38602,0.2842,0.35605,0.21124,0.1725,0.16604
dad09341-9891-4f9e-b292-1f834f9fedc4,clip,Ethiopia,False,0.31754,0.29026,0.02728,0.21461,0.29516,0.29575,0.33792,0.36845,0.36845,0.32834,0.29173,0.47204,0.19798,0.22454
9e192054-6b30-44b3-841f-785853bfe7e4,clip,Canada,False,0.06993,0.09749,-0.02757,0.25615,0.02979,0.06975,0.03775,0.03756,0.04872,0.0621,0.08763,0.09869,0.07228,0.05383
4048bef4-586f-466a-8f53-3a1332979fcd,clip,USA,False,0.02815,0.03921,-0.01105,0.03594,0.01696,0.01232,0.03152,0.02278,0.03509,0.03552,0.03552,0.03552,0.02216,0.03239
c62249de-cc8b-43b7-aa90-842dbd8d89e2,clip,China,False,0.10796,0.14941,-0.04145,0.38791,0.13881,0.12621,0.0988,0.06595,0.05445,0.09015,0.14085,0.1049,0.05286,0.02543
6ec6b59a-9126-4462-89ee-df55d996f4ab,clip,China,False,0.02278,0.27925,-0.25646,0.16369,0.00183,0.00587,0.00928,0.00637,0.01026,0.01022,0.01036,0.02196,0.04337,0.05294
5c7b7038-b58d-4a21-b867-b7a72612ff55,clip,China,False,0.02872,0.02367,0.00505,0.15463,0.00284,0.00269,0.01806,0.03376,0.03083,0.03044,0.03044,0.03044,0.01904,0.02266
39e397ed-fa8c-40ee-974d-b2f01e397e64,clip,China,False,0.07667,0.06824,0.00843,0.21514,0.10064,0.13832,0.09446,0.07305,0.06806,0.04999,0.03945,0.03345,0.04034,0.04286
a82f3319-8037-44df-bcab-0d39d14590e6,clip,USA,False,0.01424,0.01622,-0.00198,0.02838,0.00379,0.00468,0.00678,0.00698,0.00788,0.0168,0.02416,0.02308,0.02329,0.02152
3bbeaac4-39d5-449f-b8e0-69a66bbb9400,clip,USA,False,0.04828,0.08458,-0.0363,0.03781,0.05429,0.0507,0.06529,0.0465,0.04072,0.07166,0.02316,0.03534,0.03471,0.08297
4e2b3e11-9de8-4bfb-99c2-0bac3f7c7618,clip,Rwanda,False,0.09642,0.11819,-0.02176,0.18587,0.06914,0.07519,0.07495,0.07495,0.07732,0.08113,0.07437,0.10174,0.16746,0.1501
e43999fc-df28-41f1-982f-64a51d79acb7,clip,Turkey,True,0.04912,0.07284,-0.02372,0.40305,0.07289,0.03079,0.03491,0.04185,0.0137,0.019,0.019,0.019,0.01602,0.04505
c3a1ddb5-f12f-4806-bda6-4189d38228d7,clip,Turkey,True,0.48954,0.64085,-0.1513,0.9871,0.95742,0.98139,0.95827,0.92807,0.38676,0.04224,0.04224,0.04099,0.04099,0.04704
a950d18e-1dbc-46c8-955e-4bbf4f41aadb,clip,Turkey,True,0.4838,0.62899,-0.14519,0.99175,0.96688,0.95904,0.85971,0.81696,0.32603,0.11376,0.10137,0.14568,0.03065,0.04407
2b049977-6bfc-4a19-b59a-c9e2beffab94,clip,USA,False,0.05544,0.06997,-0.01454,0.42504,0.04502,0.08228,0.03158,0.01353,0.01018,0.03458,0.03458,0.03458,0.03458,0.04184
2329409d-2712-4aa5-96d1-2cd16298f150,clip,Turkey,True,0.16353,0.15757,0.00596,0.76191,0.21028,0.19569,0.21349,0.15444,0.12438,0.13404,0.08198,0.06087,0.04632,0.06571
a7465e78-a57b-4a6c-bbcf-9214feeafb74,clip,Turkey,True,0.05265,0.05418,-0.00153,0.42485,0.01468,0.0162,0.03345,0.03602,0.0366,0.0366,0.0366,0.03616,0.03839,0.05865
fc76de15-b866-4251-af12-bd76901f7c3d,clip,Turkey,True,0.05509,0.11749,-0.0624,0.67557,0.01088,0.0098,0.00891,0.01113,0.03415,0.03079,0.0313,0.02932,0.02472,0.04427
